EVENT,BOUT,URL,EVENT_NUMBER,MAIN_FIGHTER_1,MAIN_FIGHTER_2
UFC Fight Night: Moreno vs. Royval 2,Brandon Royval vs. Brandon Moreno,http://ufcstats.com/fight-details/74f5cbecac011abb,,Brandon Royval,Brandon Moreno
UFC Fight Night: Moreno vs. Royval 2,Brian Ortega vs. Yair Rodriguez,http://ufcstats.com/fight-details/3b05a4ced6dd74f5,,Brian Ortega,Yair Rodriguez
UFC Fight Night: Moreno vs. Royval 2,Daniel Zellhuber vs. Francisco Prado,http://ufcstats.com/fight-details/ecbece0cbd60029e,,Daniel Zellhuber,Francisco Prado
UFC Fight Night: Moreno vs. Royval 2,Yazmin Jauregui vs. Sam Hughes,http://ufcstats.com/fight-details/6e4acb2aaa2cee56,,Yazmin Jauregui,Sam Hughes
UFC Fight Night: Moreno vs. Royval 2,Manuel Torres vs. Chris Duncan,http://ufcstats.com/fight-details/673a156925dfb31d,,Manuel Torres,Chris Duncan
UFC Fight Night: Moreno vs. Royval 2,Raoni Barcelos vs. Cristian Quinonez,http://ufcstats.com/fight-details/063e7ce759c52f81,,Raoni Barcelos,Cristian Quinonez
UFC Fight Night: Moreno vs. Royval 2,Jesus Aguilar vs. Mateus Mendonca,http://ufcstats.com/fight-details/d1d3b6ab8a56e973,,Jesus Aguilar,Mateus Mendonca
UFC Fight Night: Moreno vs. Royval 2,Edgar Chairez vs. Daniel Lacerda,http://ufcstats.com/fight-details/1c03c1bb62f3aed6,,Edgar Chairez,Daniel Lacerda
UFC Fight Night: Moreno vs. Royval 2,Fares Ziam vs. Claudio Puelles,http://ufcstats.com/fight-details/a376f6d5806d0c90,,Fares Ziam,Claudio Puelles
UFC Fight Night: Moreno vs. Royval 2,Ronaldo Rodriguez vs. Denys Bondar,http://ufcstats.com/fight-details/5e8c710f9f27aff8,,Ronaldo Rodriguez,Denys Bondar
UFC Fight Night: Moreno vs. Royval 2,Felipe dos Santos vs. Victor Altamirano,http://ufcstats.com/fight-details/93ddc6b233d1956a,,Felipe dos Santos,Victor Altamirano
UFC Fight Night: Moreno vs. Royval 2,Muhammad Naimov vs. Erik Silva,http://ufcstats.com/fight-details/50dae6b76c9c6490,,Muhammad Naimov,Erik Silva
UFC 298: Volkanovski vs. Topuria,Ilia Topuria vs. Alexander Volkanovski,http://ufcstats.com/fight-details/bec3154a11df3299,298,Ilia Topuria,Alexander Volkanovski
UFC 298: Volkanovski vs. Topuria,Robert Whittaker vs. Paulo Costa,http://ufcstats.com/fight-details/01432891260084a4,298,Robert Whittaker,Paulo Costa
UFC 298: Volkanovski vs. Topuria,Ian Machado Garry vs. Geoff Neal,http://ufcstats.com/fight-details/8fb0092430448368,298,Ian Machado Garry,Geoff Neal
UFC 298: Volkanovski vs. Topuria,Merab Dvalishvili vs. Henry Cejudo,http://ufcstats.com/fight-details/9785420602b452f7,298,Merab Dvalishvili,Henry Cejudo
UFC 298: Volkanovski vs. Topuria,Anthony Hernandez vs. Roman Kopylov,http://ufcstats.com/fight-details/f87a3fa07f0009c9,298,Anthony Hernandez,Roman Kopylov
UFC 298: Volkanovski vs. Topuria,Amanda Lemos vs. Mackenzie Dern,http://ufcstats.com/fight-details/2aeb3ec2d8c05dc8,298,Amanda Lemos,Mackenzie Dern
UFC 298: Volkanovski vs. Topuria,Marcos Rogerio de Lima vs. Junior Tafa,http://ufcstats.com/fight-details/1456a3f96ac7e35b,298,Marcos Rogerio de Lima,Junior Tafa
UFC 298: Volkanovski vs. Topuria,Rinya Nakamura vs. Carlos Vera,http://ufcstats.com/fight-details/e92fb5c609e20b49,298,Rinya Nakamura,Carlos Vera
UFC 298: Volkanovski vs. Topuria,Zhang Mingyang vs. Brendson Ribeiro,http://ufcstats.com/fight-details/aeb3e4d9710207a4,298,Zhang Mingyang,Brendson Ribeiro
UFC 298: Volkanovski vs. Topuria,Danny Barlow vs. Josh Quinlan,http://ufcstats.com/fight-details/ef13ed466e0b42d8,298,Danny Barlow,Josh Quinlan
UFC 298: Volkanovski vs. Topuria,Oban Elliott vs. Val Woodburn,http://ufcstats.com/fight-details/9ddaa62cc806958d,298,Oban Elliott,Val Woodburn
UFC 298: Volkanovski vs. Topuria,Miranda Maverick vs. Andrea Lee,http://ufcstats.com/fight-details/b7d238437d6644ce,298,Miranda Maverick,Andrea Lee
UFC Fight Night: Hermansson vs. Pyfer,Jack Hermansson vs. Joe Pyfer,http://ufcstats.com/fight-details/406f2aacd1d1faf9,,Jack Hermansson,Joe Pyfer
UFC Fight Night: Hermansson vs. Pyfer,Dan Ige vs. Andre Fili,http://ufcstats.com/fight-details/25259e230be9cdc9,,Dan Ige,Andre Fili
UFC Fight Night: Hermansson vs. Pyfer,Ihor Potieria vs. Robert Bryczek,http://ufcstats.com/fight-details/17050a7b673dc49d,,Ihor Potieria,Robert Bryczek
UFC Fight Night: Hermansson vs. Pyfer,Gregory Rodrigues vs. Brad Tavares,http://ufcstats.com/fight-details/e7938bac3ec8b442,,Gregory Rodrigues,Brad Tavares
UFC Fight Night: Hermansson vs. Pyfer,Michael Johnson vs. Darrius Flowers,http://ufcstats.com/fight-details/5304956aada097e8,,Michael Johnson,Darrius Flowers
UFC Fight Night: Hermansson vs. Pyfer,Rodolfo Vieira vs. Armen Petrosyan,http://ufcstats.com/fight-details/9d8473ae274ed625,,Rodolfo Vieira,Armen Petrosyan
UFC Fight Night: Hermansson vs. Pyfer,Carlos Prates vs. Trevin Giles,http://ufcstats.com/fight-details/246fef4b19c3a7ed,,Carlos Prates,Trevin Giles
UFC Fight Night: Hermansson vs. Pyfer,Bolaji Oki vs. Timmy Cuamba,http://ufcstats.com/fight-details/edf46d6962be7e8d,,Bolaji Oki,Timmy Cuamba
UFC Fight Night: Hermansson vs. Pyfer,Loma Lookboonmee vs. Bruna Brasil,http://ufcstats.com/fight-details/c3986c1a56a6e94d,,Loma Lookboonmee,Bruna Brasil
UFC Fight Night: Hermansson vs. Pyfer,Marcin Prachnio vs. Devin Clark,http://ufcstats.com/fight-details/dbfd7616dec2b6d5,,Marcin Prachnio,Devin Clark
UFC Fight Night: Hermansson vs. Pyfer,Max Griffin vs. Jeremiah Wells,http://ufcstats.com/fight-details/08f7a60bd84a6b3c,,Max Griffin,Jeremiah Wells
UFC Fight Night: Hermansson vs. Pyfer,Bogdan Guskov vs. Zac Pauga,http://ufcstats.com/fight-details/ad26bf55ff201f4f,,Bogdan Guskov,Zac Pauga
UFC Fight Night: Hermansson vs. Pyfer,Hyder Amil vs. Fernie Garcia,http://ufcstats.com/fight-details/478a637045ad49fb,,Hyder Amil,Fernie Garcia
UFC Fight Night: Hermansson vs. Pyfer,Daniel Marcos vs. Aoriqileng,http://ufcstats.com/fight-details/6cd542650d886c22,,Daniel Marcos,Aoriqileng
UFC Fight Night: Dolidze vs. Imavov,Nassourdine Imavov vs. Roman Dolidze,http://ufcstats.com/fight-details/767ceb4a0cb43ade,,Nassourdine Imavov,Roman Dolidze
UFC Fight Night: Dolidze vs. Imavov,Renato Moicano vs. Drew Dober,http://ufcstats.com/fight-details/733e675fd7c0052a,,Renato Moicano,Drew Dober
UFC Fight Night: Dolidze vs. Imavov,Randy Brown vs. Muslim Salikhov,http://ufcstats.com/fight-details/af6d56860ba4d259,,Randy Brown,Muslim Salikhov
UFC Fight Night: Dolidze vs. Imavov,Natalia Silva vs. Viviane Araujo,http://ufcstats.com/fight-details/7b1882dc76786d77,,Natalia Silva,Viviane Araujo
UFC Fight Night: Dolidze vs. Imavov,Aliaskhab Khizriev vs. Makhmud Muradov,http://ufcstats.com/fight-details/415ea2520b7ba720,,Aliaskhab Khizriev,Makhmud Muradov
UFC Fight Night: Dolidze vs. Imavov,Charles Radtke vs. Gilbert Urbina,http://ufcstats.com/fight-details/330d86bfaa4155fe,,Charles Radtke,Gilbert Urbina
UFC Fight Night: Dolidze vs. Imavov,Molly McCann vs. Diana Belbita,http://ufcstats.com/fight-details/d4ace70b3661ee6c,,Molly McCann,Diana Belbita
UFC Fight Night: Dolidze vs. Imavov,Charles Johnson vs. Azat Maksum,http://ufcstats.com/fight-details/ca7d61e167d7789c,,Charles Johnson,Azat Maksum
UFC Fight Night: Dolidze vs. Imavov,Themba Gorimbo vs. Pete Rodriguez,http://ufcstats.com/fight-details/4cff9aeef3ac75c1,,Themba Gorimbo,Pete Rodriguez
UFC Fight Night: Dolidze vs. Imavov,JeongYeong Lee vs. Blake Bilder,http://ufcstats.com/fight-details/e1930496b33fa636,,JeongYeong Lee,Blake Bilder
