EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL,FIGHTER_1,FIGHTER_2,FIGHTER_1_RESULT,FIGHTER_2_RESULT,JUDGE_1,JUDGE_1_SCORE,JUDGE_2,JUDGE_2_SCORE,JUDGE_3,JUDGE_3_SCORE
UFC Fight Night: Moreno vs. Royval 2 ,Brandon Moreno  vs. Brandon Royval ,L/W,Flyweight Bout,Decision - Split ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Mike Bell 47 - 48.Junichiro Kamijo 49 - 46.Chris Lee 47 - 48.,http://ufcstats.com/fight-details/74f5cbecac011abb,Brandon Moreno,Brandon Royval,L,W,Mike Bell,47 - 48,Junichiro Kamijo,49 - 46,Chris Lee,47 - 48
UFC Fight Night: Moreno vs. Royval 2 ,Yair Rodriguez  vs. Brian Ortega ,L/W,Featherweight Bout,Submission ,3,0:58,5 Rnd (5-5-5-5-5),Marc Goddard,Arm Triangle From Side Control ,http://ufcstats.com/fight-details/3b05a4ced6dd74f5,Yair Rodriguez,Brian Ortega,L,W,,,,,,
UFC Fight Night: Moreno vs. Royval 2 ,Daniel Zellhuber  vs. Francisco Prado ,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Miguel Jimenez 28 - 29.Junichiro Kamijo 28 - 29.Rick Winter 26 - 30.,http://ufcstats.com/fight-details/ecbece0cbd60029e,Daniel Zellhuber,Francisco Prado,W,L,Miguel Jimenez,28 - 29,Junichiro Kamijo,28 - 29,Rick Winter,26 - 30
UFC Fight Night: Moreno vs. Royval 2 ,Yazmin Jauregui  vs. Sam Hughes ,W/L,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Horacio Lopez 27 - 30.Mike Bell 27 - 30.Rick Winter 27 - 30.,http://ufcstats.com/fight-details/6e4acb2aaa2cee56,Yazmin Jauregui,Sam Hughes,W,L,Horacio Lopez,27 - 30,Mike Bell,27 - 30,Rick Winter,27 - 30
UFC Fight Night: Moreno vs. Royval 2 ,Manuel Torres  vs. Chris Duncan ,W/L,Lightweight Bout,Submission ,1,1:46,3 Rnd (5-5-5),Mike Beltran,Rear Naked Choke ,http://ufcstats.com/fight-details/673a156925dfb31d,Manuel Torres,Chris Duncan,W,L,,,,,,
UFC Fight Night: Moreno vs. Royval 2 ,Cristian Quinonez  vs. Raoni Barcelos ,L/W,Bantamweight Bout,Submission ,3,2:04,3 Rnd (5-5-5),Bladimir Puga,Rear Naked Choke ,http://ufcstats.com/fight-details/063e7ce759c52f81,Cristian Quinonez,Raoni Barcelos,L,W,,,,,,
UFC Fight Night: Moreno vs. Royval 2 ,Jesus Aguilar  vs. Mateus Mendonca ,W/L,Flyweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Fernando Salas Navarro,Eric Colon 29 - 28.Mike Bell 28 - 29.Horacio Lopez 28 - 29.,http://ufcstats.com/fight-details/d1d3b6ab8a56e973,Jesus Aguilar,Mateus Mendonca,W,L,Eric Colon,29 - 28,Mike Bell,28 - 29,Horacio Lopez,28 - 29
UFC Fight Night: Moreno vs. Royval 2 ,Edgar Chairez  vs. Daniel Lacerda ,W/L,Flyweight Bout,Submission ,1,2:17,3 Rnd (5-5-5),Marc Goddard,Triangle Choke From Guard ,http://ufcstats.com/fight-details/1c03c1bb62f3aed6,Edgar Chairez,Daniel Lacerda,W,L,,,,,,
UFC Fight Night: Moreno vs. Royval 2 ,Claudio Puelles  vs. Fares Ziam ,L/W,Lightweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell 27 - 30.Raul Salas 29 - 28.Chris Lee 28 - 29.,http://ufcstats.com/fight-details/a376f6d5806d0c90,Claudio Puelles,Fares Ziam,L,W,Mike Bell,27 - 30,Raul Salas,29 - 28,Chris Lee,28 - 29
UFC Fight Night: Moreno vs. Royval 2 ,Ronaldo Rodriguez  vs. Denys Bondar ,W/L,Flyweight Bout,Submission ,2,4:59,3 Rnd (5-5-5),Mike Beltran,Rear Naked Choke ,http://ufcstats.com/fight-details/5e8c710f9f27aff8,Ronaldo Rodriguez,Denys Bondar,W,L,,,,,,
UFC Fight Night: Moreno vs. Royval 2 ,Victor Altamirano  vs. Felipe dos Santos ,L/W,Flyweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Bladimir Puga,Miguel Jimenez 30 - 27.Mike Bell 28 - 29.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/93ddc6b233d1956a,Victor Altamirano,Felipe dos Santos,L,W,Miguel Jimenez,30 - 27,Mike Bell,28 - 29,Junichiro Kamijo,28 - 29
UFC Fight Night: Moreno vs. Royval 2 ,Erik Silva  vs. Muhammad Naimov ,L/W,Featherweight Bout,KO/TKO ,1,0:44,3 Rnd (5-5-5),Fernando Salas Navarro,to On GroundLeg Injury to Silva,http://ufcstats.com/fight-details/50dae6b76c9c6490,Erik Silva,Muhammad Naimov,L,W,,,,,,
UFC 298: Volkanovski vs. Topuria ,Alexander Volkanovski  vs. Ilia Topuria ,L/W,UFC Featherweight Title Bout,KO/TKO ,2,3:32,5 Rnd (5-5-5-5-5),Jason Herzog,Punch to Head At Distance ,http://ufcstats.com/fight-details/bec3154a11df3299,Alexander Volkanovski,Ilia Topuria,L,W,,,,,,
UFC 298: Volkanovski vs. Topuria ,Robert Whittaker  vs. Paulo Costa ,W/L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Ron McCarthy 28 - 29.Eliot Kelly 28 - 29.Mike Bell 27 - 30.,http://ufcstats.com/fight-details/01432891260084a4,Robert Whittaker,Paulo Costa,W,L,Ron McCarthy,28 - 29,Eliot Kelly,28 - 29,Mike Bell,27 - 30
UFC 298: Volkanovski vs. Topuria ,Geoff Neal  vs. Ian Machado Garry ,L/W,Welterweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Frank Trigg,Felicia Oh 27 - 30.Derek Cleary 29 - 28.Sal D'amato 27 - 30.,http://ufcstats.com/fight-details/8fb0092430448368,Geoff Neal,Ian Machado Garry,L,W,Felicia Oh,27 - 30,Derek Cleary,29 - 28,amato,27 - 30
UFC 298: Volkanovski vs. Topuria ,Merab Dvalishvili  vs. Henry Cejudo ,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jonathan Romero,Mike Bell 28 - 29.RaphaelDavis 28 - 29.Chris Leben 28 - 29.,http://ufcstats.com/fight-details/9785420602b452f7,Merab Dvalishvili,Henry Cejudo,W,L,Mike Bell,28 - 29,RaphaelDavis,28 - 29,Chris Leben,28 - 29
UFC 298: Volkanovski vs. Topuria ,Anthony Hernandez  vs. Roman Kopylov ,W/L,Middleweight Bout,Submission ,2,3:23,3 Rnd (5-5-5),Jason Herzog,Rear Naked Choke ,http://ufcstats.com/fight-details/f87a3fa07f0009c9,Anthony Hernandez,Roman Kopylov,W,L,,,,,,
UFC 298: Volkanovski vs. Topuria ,Amanda Lemos  vs. Mackenzie Dern ,W/L,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Mike Bell 28 - 29.Derek Cleary 28 - 29.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/2aeb3ec2d8c05dc8,Amanda Lemos,Mackenzie Dern,W,L,Mike Bell,28 - 29,Derek Cleary,28 - 29,amato,28 - 29
UFC 298: Volkanovski vs. Topuria ,Marcos Rogerio de Lima  vs. Junior Tafa ,W/L,Heavyweight Bout,KO/TKO ,2,1:14,3 Rnd (5-5-5),Frank Trigg,Kick to Leg At Distance ,http://ufcstats.com/fight-details/1456a3f96ac7e35b,Marcos Rogerio de Lima,Junior Tafa,W,L,,,,,,
UFC 298: Volkanovski vs. Topuria ,Rinya Nakamura  vs. Carlos Vera ,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jonathan Romero,Ron McCarthy 27 - 30.RaphaelDavis 27 - 30.Chris Leben 27 - 30.,http://ufcstats.com/fight-details/e92fb5c609e20b49,Rinya Nakamura,Carlos Vera,W,L,Ron McCarthy,27 - 30,RaphaelDavis,27 - 30,Chris Leben,27 - 30
UFC 298: Volkanovski vs. Topuria ,Zhang Mingyang  vs. Brendson Ribeiro ,W/L,Light Heavyweight Bout,KO/TKO ,1,1:41,3 Rnd (5-5-5),Mike Beltran,Punch to Head At Distance ,http://ufcstats.com/fight-details/aeb3e4d9710207a4,Zhang Mingyang,Brendson Ribeiro,W,L,,,,,,
UFC 298: Volkanovski vs. Topuria ,Josh Quinlan  vs. Danny Barlow ,L/W,Welterweight Bout,KO/TKO ,3,1:18,3 Rnd (5-5-5),Jason Herzog,Punches to Head At Distance ,http://ufcstats.com/fight-details/ef13ed466e0b42d8,Josh Quinlan,Danny Barlow,L,W,,,,,,
UFC 298: Volkanovski vs. Topuria ,Oban Elliott  vs. Val Woodburn ,W/L,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jonathan Romero,Mike Bell 27 - 30.Chris Leben 27 - 30.Eliot Kelly 28 - 29.,http://ufcstats.com/fight-details/9ddaa62cc806958d,Oban Elliott,Val Woodburn,W,L,Mike Bell,27 - 30,Chris Leben,27 - 30,Eliot Kelly,28 - 29
UFC 298: Volkanovski vs. Topuria ,Andrea Lee  vs. Miranda Maverick ,L/W,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Frank Trigg,Felicia Oh 27 - 30.RaphaelDavis 27 - 30.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/b7d238437d6644ce,Andrea Lee,Miranda Maverick,L,W,Felicia Oh,27 - 30,RaphaelDavis,27 - 30,Ron McCarthy,28 - 29
UFC Fight Night: Hermansson vs. Pyfer ,Jack Hermansson  vs. Joe Pyfer ,W/L,Middleweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Mark Smith,Mike Bell 47 - 48.Sal D'amato 47 - 48.Chris Lee 47 - 48.,http://ufcstats.com/fight-details/406f2aacd1d1faf9,Jack Hermansson,Joe Pyfer,W,L,Mike Bell,47 - 48,amato,47 - 48,Chris Lee,47 - 48
UFC Fight Night: Hermansson vs. Pyfer ,Dan Ige  vs. Andre Fili ,W/L,Featherweight Bout,KO/TKO ,1,2:43,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance ,http://ufcstats.com/fight-details/25259e230be9cdc9,Dan Ige,Andre Fili,W,L,,,,,,
