EVENT,URL,DATE,LOCATION
UFC Fight Night: Tsarukyan vs. Hooker,http://ufcstats.com/event-details/92c96df8bdab5fea,"November 22, 2025","Doha, Qatar"
UFC 322: Della Maddalena vs. Makhachev,http://ufcstats.com/event-details/8db1b36dde268ef6,"November 15, 2025","New York City, New York, USA"
UFC Fight Night: Bonfim vs. Brown,http://ufcstats.com/event-details/6436029b50a9c255,"November 08, 2025","Las Vegas, Nevada, USA"
UFC Fight Night: Garcia vs. Onama,http://ufcstats.com/event-details/0e2c2daf11b5d8f2,"November 01, 2025","Las Vegas, Nevada, USA"
UFC 321: Aspinall vs. Gane,http://ufcstats.com/event-details/7956f026e2672c47,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: De Ridder vs. Allen,http://ufcstats.com/event-details/38e5d9dcb0fddc42,"October 18, 2025","Vancouver, British Columbia, Canada"
UFC Fight Night: Oliveira vs. Gamrot,http://ufcstats.com/event-details/9336e86cfd4ceaa1,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil"
UFC 320: Ankalaev vs. Pereira 2,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,"October 04, 2025","Las Vegas, Nevada, USA"
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,"September 27, 2025","Perth, Western Australia, Australia"
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,"September 13, 2025","San Antonio, Texas, USA"
UFC Fight Night: Imavov vs. Borralho,http://ufcstats.com/event-details/6e380a4d73ab4f0e,"September 06, 2025","Paris, Ile-de-France, France"
UFC Fight Night: Walker vs. Zhang,http://ufcstats.com/event-details/754968e325d6f60d,"August 23, 2025","Shanghai, Hebei, China"
UFC 319: Du Plessis vs. Chimaev,http://ufcstats.com/event-details/421ccfc6ddb17958,"August 16, 2025","Chicago, Illinois, USA"
UFC Fight Night: Dolidze vs. Hernandez,http://ufcstats.com/event-details/6cd3dfc54f01287f,"August 09, 2025","Las Vegas, Nevada, USA"
UFC Fight Night: Taira vs. Park,http://ufcstats.com/event-details/f2c934689243fe4e,"August 02, 2025","Las Vegas, Nevada, USA"
UFC Fight Night: Whittaker vs. De Ridder,http://ufcstats.com/event-details/28d8638ea0a71908,"July 26, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC 318: Holloway vs. Poirier 3,http://ufcstats.com/event-details/b8e2f10efb6eca85,"July 19, 2025","New Orleans, Louisiana, USA"
UFC Fight Night: Lewis vs. Teixeira,http://ufcstats.com/event-details/7b03d9df5910917d,"July 12, 2025","Nashville, Tennessee, USA"
UFC 317: Topuria vs. Oliveira,http://ufcstats.com/event-details/66766984842c13dc,"June 28, 2025","Las Vegas, Nevada, USA"
UFC Fight Night: Hill vs. Rountree Jr.,http://ufcstats.com/event-details/400c7b43c86d27d3,"June 21, 2025","Baku, Azerbaijan"
UFC Fight Night: Usman vs. Buckley,http://ufcstats.com/event-details/de277a4abcfeea46,"June 14, 2025","Atlanta, Georgia, USA"
UFC 316: Dvalishvili vs. O'Malley 2,http://ufcstats.com/event-details/18c49685296c60e6,"June 07, 2025","Newark, New Jersey, USA"
UFC Fight Night: Blanchfield vs. Barber,http://ufcstats.com/event-details/2a898bf9fb7710b3,"May 31, 2025","Las Vegas, Nevada, USA"
UFC Fight Night: Burns vs. Morales,http://ufcstats.com/event-details/8ad022dd81224f61,"May 17, 2025","Las Vegas, Nevada, USA"
UFC 315: Muhammad vs. Della Maddalena,http://ufcstats.com/event-details/118463dd8db16e7f,"May 10, 2025","Montreal, Quebec, Canada"
UFC Fight Night: Sandhagen vs. Figueiredo,http://ufcstats.com/event-details/de20ffb3fc2e7629,"May 03, 2025","Des Moines, Iowa, USA"
UFC Fight Night: Machado Garry vs. Prates,http://ufcstats.com/event-details/b2e3aca4cd363477,"April 26, 2025","Kansas City, Missouri, USA"
UFC 314: Volkanovski vs. Lopes,http://ufcstats.com/event-details/22f4b6cb6b1bd7fd,"April 12, 2025","Miami, Florida, USA"
UFC Fight Night: Emmett vs. Murphy,http://ufcstats.com/event-details/86b30a86664cb6e4,"April 05, 2025","Las Vegas, Nevada, USA"
UFC Fight Night: Moreno vs. Erceg,http://ufcstats.com/event-details/0f7210aa8d61af8d,"March 29, 2025","Mexico City, Distrito Federal, Mexico"
UFC Fight Night: Edwards vs. Brady,http://ufcstats.com/event-details/cc2ad11b1f9d818b,"March 22, 2025","London, England, United Kingdom"
UFC Fight Night: Vettori vs. Dolidze 2,http://ufcstats.com/event-details/39f62b833e4cf126,"March 15, 2025","Las Vegas, Nevada, USA"
UFC 313: Pereira vs. Ankalaev,http://ufcstats.com/event-details/ca936c67687789e9,"March 08, 2025","Las Vegas, Nevada, USA"
UFC Fight Night: Kape vs. Almabayev,http://ufcstats.com/event-details/9766ed20b68c7c33,"March 01, 2025","Las Vegas, Nevada, USA"
UFC Fight Night: Cejudo vs. Song,http://ufcstats.com/event-details/c50ea21fe9ef478d,"February 22, 2025","Seattle, Washington, USA"
UFC Fight Night: Cannonier vs. Rodrigues,http://ufcstats.com/event-details/ce7871949b0ed2bf,"February 15, 2025","Las Vegas, Nevada, USA"
