EVENT,BOUT,URL
UFC Fight Night: Yusuff vs. Barboza,Edson Barboza vs. Sodiq Yusuff,http://ufcstats.com/fight-details/824859c7580eb35b
UFC Fight Night: Yusuff vs. Barboza,Viviane Araujo vs. Jennifer Maia,http://ufcstats.com/fight-details/751cf3d52fce1d1f
UFC Fight Night: Yusuff vs. Barboza,Jonathan Martinez vs. Adrian Yanez,http://ufcstats.com/fight-details/0d6d212fcdf47f2e
UFC Fight Night: Yusuff vs. Barboza,Michel Pereira vs. Andre Petroski,http://ufcstats.com/fight-details/6acd1c591170f597
UFC Fight Night: Yusuff vs. Barboza,Christian Rodriguez vs. Cameron Saaiman,http://ufcstats.com/fight-details/0197a61472fc351d
UFC Fight Night: Yusuff vs. Barboza,Darren Elkins vs. TJ Brown,http://ufcstats.com/fight-details/3a8af8ee23444b72
UFC Fight Night: Yusuff vs. Barboza,Tainara Lisboa vs. Ravena Oliveira,http://ufcstats.com/fight-details/5b7b5b01f4dcbd9c
UFC Fight Night: Yusuff vs. Barboza,Terrance McKinney vs. Brendon Marotte,http://ufcstats.com/fight-details/7f7d2abc21f171ca
UFC Fight Night: Yusuff vs. Barboza,Melissa Dixon vs. Irina Alekseeva,http://ufcstats.com/fight-details/1ba282da76ca82ad
UFC Fight Night: Yusuff vs. Barboza,Chris Gutierrez vs. Alatengheili,http://ufcstats.com/fight-details/a74a8c1e0a49070d
UFC Fight Night: Yusuff vs. Barboza,Emily Ducote vs. Ashley Yoder,http://ufcstats.com/fight-details/85a130a4b655c8f5
UFC Fight Night: Dawson vs. Green,Bobby Green vs. Grant Dawson,http://ufcstats.com/fight-details/1aa4c2fa5ffaff00
UFC Fight Night: Dawson vs. Green,Joe Pyfer vs. Abdul Razak Alhassan,http://ufcstats.com/fight-details/e966de63c8e6b1d5
UFC Fight Night: Dawson vs. Green,Joaquin Buckley vs. Alex Morono,http://ufcstats.com/fight-details/eb76a5b76a68e4c4
UFC Fight Night: Dawson vs. Green,Drew Dober vs. Ricky Glenn,http://ufcstats.com/fight-details/68095e551ff6bbfd
UFC Fight Night: Dawson vs. Green,Bill Algeo vs. Alexander Hernandez,http://ufcstats.com/fight-details/b638646fb297228d
UFC Fight Night: Dawson vs. Green,Karolina Kowalkiewicz vs. Diana Belbita,http://ufcstats.com/fight-details/b6a6ba08898f3b6a
UFC Fight Night: Dawson vs. Green,Nate Maness vs. Mateus Mendonca,http://ufcstats.com/fight-details/eb7b0a6f06dbdb4f
UFC Fight Night: Dawson vs. Green,Vanessa Demopoulos vs. Kanako Murata,http://ufcstats.com/fight-details/5ee83e03aaff5fa1
UFC Fight Night: Dawson vs. Green,Aoriqileng vs. Johnny Munoz,http://ufcstats.com/fight-details/df146b0592259e5d
UFC Fight Night: Dawson vs. Green,JJ Aldrich vs. Montana De La Rosa,http://ufcstats.com/fight-details/cc4fcfede19bc196
UFC Fight Night: Fiziev vs. Gamrot,Mateusz Gamrot vs. Rafael Fiziev,http://ufcstats.com/fight-details/23a604f460289271
UFC Fight Night: Fiziev vs. Gamrot,Bryce Mitchell vs. Dan Ige,http://ufcstats.com/fight-details/da1b37edb8ccd3e6
UFC Fight Night: Fiziev vs. Gamrot,Marina Rodriguez vs. Michelle Waterson-Gomez,http://ufcstats.com/fight-details/d8335b728604b222
UFC Fight Night: Fiziev vs. Gamrot,Bryan Battle vs. AJ Fletcher,http://ufcstats.com/fight-details/bf647be41de365e4
UFC Fight Night: Fiziev vs. Gamrot,Charles Jourdain vs. Ricardo Ramos,http://ufcstats.com/fight-details/6e1bf1b163b3aeab
UFC Fight Night: Fiziev vs. Gamrot,Miles Johns vs. Dan Argueta,http://ufcstats.com/fight-details/b78545b32a97ac44
UFC Fight Night: Fiziev vs. Gamrot,Tim Means vs. Andre Fialho,http://ufcstats.com/fight-details/b3c7a5a97978d156
UFC Fight Night: Fiziev vs. Gamrot,Cody Brundage vs. Jacob Malkoun,http://ufcstats.com/fight-details/1496969c1497dc85
UFC Fight Night: Fiziev vs. Gamrot,Mohammed Usman vs. Jake Collier,http://ufcstats.com/fight-details/49ede01b061cfae3
UFC Fight Night: Fiziev vs. Gamrot,Mizuki vs. Hannah Goldy,http://ufcstats.com/fight-details/adb411b0f418ce33
UFC Fight Night: Fiziev vs. Gamrot,Montserrat Rendon vs. Tamires Vidal,http://ufcstats.com/fight-details/0732e6b6eb0a607d
UFC Fight Night: Grasso vs. Shevchenko 2,Alexa Grasso vs. Valentina Shevchenko,http://ufcstats.com/fight-details/b395c89e19a3fec4
UFC Fight Night: Grasso vs. Shevchenko 2,Jack Della Maddalena vs. Kevin Holland,http://ufcstats.com/fight-details/697efaf0d162e877
UFC Fight Night: Grasso vs. Shevchenko 2,Raul Rosas Jr. vs. Terrence Mitchell,http://ufcstats.com/fight-details/c0ca4c201d086ea8
UFC Fight Night: Grasso vs. Shevchenko 2,Daniel Zellhuber vs. Christos Giagos,http://ufcstats.com/fight-details/2e1435c160bfe8b2
UFC Fight Night: Grasso vs. Shevchenko 2,Kyle Nelson vs. Fernando Padilla,http://ufcstats.com/fight-details/a5d76e93a5052e3f
UFC Fight Night: Grasso vs. Shevchenko 2,Loopy Godinez vs. Elise Reed,http://ufcstats.com/fight-details/79f03eca3fe5cdb3
UFC Fight Night: Grasso vs. Shevchenko 2,Roman Kopylov vs. Josh Fremd,http://ufcstats.com/fight-details/7a0813ec0fadc84e
UFC Fight Night: Grasso vs. Shevchenko 2,Edgar Chairez vs. Daniel Lacerda,http://ufcstats.com/fight-details/5d3e046b6bcd49f5
UFC Fight Night: Grasso vs. Shevchenko 2,Tracy Cortez vs. Jasmine Jasudavicius,http://ufcstats.com/fight-details/bcec26b425194e40
UFC Fight Night: Grasso vs. Shevchenko 2,Charlie Campbell vs. Alex Reyes,http://ufcstats.com/fight-details/58b2fdad7af9be02
UFC Fight Night: Grasso vs. Shevchenko 2,Josefine Knutsson vs. Marnic Mann,http://ufcstats.com/fight-details/11318a7807cee8ca
UFC 293: Adesanya vs. Strickland,Sean Strickland vs. Israel Adesanya,http://ufcstats.com/fight-details/7f16e7725245bb2d
UFC 293: Adesanya vs. Strickland,Alexander Volkov vs. Tai Tuivasa,http://ufcstats.com/fight-details/e4ed294e16e16d81
UFC 293: Adesanya vs. Strickland,Manel Kape vs. Felipe dos Santos,http://ufcstats.com/fight-details/222bb2c67a87d312
UFC 293: Adesanya vs. Strickland,Justin Tafa vs. Austen Lane,http://ufcstats.com/fight-details/f9d2137f380e66bf
UFC 293: Adesanya vs. Strickland,Tyson Pedro vs. Anton Turkalj,http://ufcstats.com/fight-details/3e1c27f17433f9e4
UFC 293: Adesanya vs. Strickland,Carlos Ulberg vs. Da Woon Jung,http://ufcstats.com/fight-details/a3d75cc363a6544b
UFC 293: Adesanya vs. Strickland,Chepe Mariscal vs. Jack Jenkins,http://ufcstats.com/fight-details/09a7f0979a58e6ea
UFC 293: Adesanya vs. Strickland,Jamie Mullarkey vs. John Makdessi,http://ufcstats.com/fight-details/0aae15358d8606b9
UFC 293: Adesanya vs. Strickland,Nasrat Haqparast vs. Landon Quinones,http://ufcstats.com/fight-details/bfff5a3777841344
UFC 293: Adesanya vs. Strickland,Charles Radtke vs. Blood Diamond,http://ufcstats.com/fight-details/56809feb4fe7ea61
UFC 293: Adesanya vs. Strickland,Gabriel Miranda vs. Shane Young,http://ufcstats.com/fight-details/5d481ff494bf40da
UFC 293: Adesanya vs. Strickland,Kevin Jousset vs. Kiefer Crosbie,http://ufcstats.com/fight-details/65c89e0c92e51bb8
UFC Fight Night: Gane vs. Spivac,Ciryl Gane vs. Serghei Spivac,http://ufcstats.com/fight-details/ea006bae605e2a6b
UFC Fight Night: Gane vs. Spivac,Manon Fiorot vs. Rose Namajunas,http://ufcstats.com/fight-details/4eaf54ad3c82b6fa
UFC Fight Night: Gane vs. Spivac,Benoit Saint Denis vs. Thiago Moises,http://ufcstats.com/fight-details/dfa8fd0b82b37fa1
UFC Fight Night: Gane vs. Spivac,Volkan Oezdemir vs. Bogdan Guskov,http://ufcstats.com/fight-details/5098d052525da54f
UFC Fight Night: Gane vs. Spivac,William Gomis vs. Yanis Ghemmouri,http://ufcstats.com/fight-details/1c29c53ff032c5c1
UFC Fight Night: Gane vs. Spivac,Morgan Charriere vs. Manolo Zecchini,http://ufcstats.com/fight-details/0d41a3fa5efef91b
UFC Fight Night: Gane vs. Spivac,Taylor Lapilus vs. Caolan Loughran,http://ufcstats.com/fight-details/1b9a127f9dadaad9
UFC Fight Night: Gane vs. Spivac,Ange Loosa vs. Rhys McKee,http://ufcstats.com/fight-details/1be27d95bba03f17
UFC Fight Night: Gane vs. Spivac,Nora Cornolle vs. Joselyne Edwards,http://ufcstats.com/fight-details/e3a5a7ede88a2555
UFC Fight Night: Gane vs. Spivac,Farid Basharat vs. Kleydson Rodrigues,http://ufcstats.com/fight-details/ac73c6888ee9322c
UFC Fight Night: Gane vs. Spivac,Jacqueline Cavalcanti vs. Zarah Fairn,http://ufcstats.com/fight-details/2a48d0a98c21e736
UFC Fight Night: Holloway vs. The Korean Zombie,Max Holloway vs. Chan Sung Jung,http://ufcstats.com/fight-details/96704d7ba3a452d9
UFC Fight Night: Holloway vs. The Korean Zombie,View Matchup vs. Anthony Smith,http://ufcstats.com/fight-details/c53b0f678fe2f16a
UFC Fight Night: Holloway vs. The Korean Zombie,Ryan Spann vs. Giga Chikadze,http://ufcstats.com/fight-details/dd617f6ab4916ec4
UFC Fight Night: Holloway vs. The Korean Zombie,Alex Caceres vs. Rinya Nakamura,http://ufcstats.com/fight-details/de89bea7b0dcd2d3
UFC Fight Night: Holloway vs. The Korean Zombie,Fernie Garcia vs. Erin Blanchfield,http://ufcstats.com/fight-details/5531317352862978
UFC Fight Night: Holloway vs. The Korean Zombie,Taila Santos vs. Junior Tafa,http://ufcstats.com/fight-details/f7bc845ce74f5fe7
UFC Fight Night: Holloway vs. The Korean Zombie,Parker Porter vs. Waldo Cortes-Acosta,http://ufcstats.com/fight-details/bfc9989751bd0d04
UFC Fight Night: Holloway vs. The Korean Zombie,Lukasz Brzeski vs. Garrett Armfield,http://ufcstats.com/fight-details/48231fbd1af53674
UFC Fight Night: Holloway vs. The Korean Zombie,Toshiomi Kazama vs. Michal Oleksiejczuk,http://ufcstats.com/fight-details/293c5f4c9aca5c54
UFC Fight Night: Holloway vs. The Korean Zombie,Chidi Njokuani vs. Song Kenan,http://ufcstats.com/fight-details/da6b863cf684e0ae
