EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL
UFC Fight Night: Tsarukyan vs. Hooker ,Arman Tsarukyan vs. Dan Hooker,W/L,Lightweight Bout,Submission ,2,3:34,5 Rnd (5-5-5-5-5),Marc Goddard,Arm Triangle From Mount ,http://ufcstats.com/fight-details/5f5b626e67529056
UFC Fight Night: Tsarukyan vs. Hooker ,Belal Muhammad vs. Ian Machado Garry,L/W,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Anders Ohlsson 27 - 30.Vito Paolillo 27 - 30.Mark Collett 28 - 29.,http://ufcstats.com/fight-details/b2218930b982d9b6
UFC Fight Night: Tsarukyan vs. Hooker ,Volkan Oezdemir vs. Alonzo Menifield,W/L,Light Heavyweight Bout,KO/TKO ,1,1:27,3 Rnd (5-5-5),Marc Goddard,Punches to Head At Distance ,http://ufcstats.com/fight-details/870d374f8d9af65a
UFC Fight Night: Tsarukyan vs. Hooker ,Jack Hermansson vs. Myktybek Orolbai,L/W,Welterweight Bout,KO/TKO ,1,2:46,3 Rnd (5-5-5),Daniel Movahedi,Punch to Head At Distance ,http://ufcstats.com/fight-details/8ed609d80e135d94
UFC Fight Night: Tsarukyan vs. Hooker ,Waldo Cortes Acosta vs. Shamil Gaziev,W/L,Heavyweight Bout,KO/TKO ,1,1:22,3 Rnd (5-5-5),Lukasz Bosacki,Punch to Head At Distance ,http://ufcstats.com/fight-details/e8307c7686c42d8c
UFC Fight Night: Tsarukyan vs. Hooker ,Tagir Ulanbekov vs. Kyoji Horiguchi,L/W,Flyweight Bout,Submission ,3,2:18,3 Rnd (5-5-5),Rich Mitchell,Rear Naked Choke ,http://ufcstats.com/fight-details/00ee51bba08b7a08
UFC Fight Night: Tsarukyan vs. Hooker ,Bogdan Grad vs. Luke Riley,L/W,Featherweight Bout,KO/TKO ,2,0:30,3 Rnd (5-5-5),Marc Goddard,Punches to Head From Guard ,http://ufcstats.com/fight-details/5e6a74db89f5410c
UFC Fight Night: Tsarukyan vs. Hooker ,Nicolas Dalby vs. Saygid Izagakhmaev,W/L,Welterweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Ben Cartlidge 28 - 29.Vito Paolillo 29 - 28.Cezary Wojciechowski 28 - 29.,http://ufcstats.com/fight-details/c49485cedb878cf0
UFC Fight Night: Tsarukyan vs. Hooker ,Alex Perez vs. Asu Almabayev,L/W,Flyweight Bout,Submission ,3,0:22,3 Rnd (5-5-5),Daniel Movahedi,Guillotine Choke In Clinch ,http://ufcstats.com/fight-details/443f30a4a856584a
UFC Fight Night: Tsarukyan vs. Hooker ,Abdul Rakhman Yakhyaev vs. Rafael Cerqueira,W/L,Light Heavyweight Bout,Submission ,1,0:33,3 Rnd (5-5-5),Rich Mitchell,Rear Naked Choke ,http://ufcstats.com/fight-details/f5564a9eeebd4ea0
UFC Fight Night: Tsarukyan vs. Hooker ,Bekzat Almakhan vs. Aleksandre Topuria,L/W,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge 27 - 30.Cezary Wojciechowski 27 - 30.Anders Ohlsson 28 - 29.,http://ufcstats.com/fight-details/6f0231915cc28507
UFC Fight Night: Tsarukyan vs. Hooker ,Ismail Naurdiev vs. Ryan Loder,W/L,Middleweight Bout,KO/TKO ,1,1:26,3 Rnd (5-5-5),Daniel Movahedi,Punch to Head At Distance ,http://ufcstats.com/fight-details/335064c3380e2f10
UFC Fight Night: Tsarukyan vs. Hooker ,Nurullo Aliev vs. Shem Rock,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Ben Cartlidge 27 - 30.Anders Ohlsson 27 - 30.Cezary Wojciechowski 27 - 30.,http://ufcstats.com/fight-details/46f81d5ecd974c1c
UFC Fight Night: Tsarukyan vs. Hooker ,Marek Bujlo vs. Denzel Freeman,L/W,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Vito Paolillo 27 - 30.Mark Collett 28 - 29.David Lethaby 28 - 29.,http://ufcstats.com/fight-details/9027e156c6f1988a
UFC 322: Della Maddalena vs. Makhachev ,Jack Della Maddalena vs. Islam Makhachev,L/W,UFC Welterweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Derek Cleary 45 - 50.Sal D'amato 45 - 50.Ron McCarthy 45 - 50.,http://ufcstats.com/fight-details/856f6ee049373843
UFC 322: Della Maddalena vs. Makhachev ,Valentina Shevchenko vs. Zhang Weili,W/L,UFC Women's Flyweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Chris Bolinski 45 - 50.Eric Colon 45 - 50.Chris Lee 45 - 50.,http://ufcstats.com/fight-details/7606f6b6c19f2d73
UFC 322: Della Maddalena vs. Makhachev ,Sean Brady vs. Michael Morales,L/W,Welterweight Bout,KO/TKO ,1,3:27,3 Rnd (5-5-5),Blake Grice,Punches to Head At Distance ,http://ufcstats.com/fight-details/477af74ea3cbba8b
UFC 322: Della Maddalena vs. Makhachev ,Leon Edwards vs. Carlos Prates,L/W,Welterweight Bout,KO/TKO ,2,1:28,3 Rnd (5-5-5),Keith Peterson,Punch to Head At Distance ,http://ufcstats.com/fight-details/3c60884853766487
UFC 322: Della Maddalena vs. Makhachev ,Beneil Dariush vs. Benoit Saint Denis,L/W,Lightweight Bout,KO/TKO ,1,0:16,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance ,http://ufcstats.com/fight-details/9b5f190cd3f5ce16
UFC 322: Della Maddalena vs. Makhachev ,Bo Nickal vs. Rodolfo Vieira,W/L,Middleweight Bout,KO/TKO ,3,2:24,3 Rnd (5-5-5),Dan Miragliotta,Kick to Head At Distance ,http://ufcstats.com/fight-details/292b83afa418635f
UFC 322: Della Maddalena vs. Makhachev ,Roman Kopylov vs. Gregory Rodrigues,L/W,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Eric Colon 27 - 30.Marcel Varela 27 - 30.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/ebb012c5f3fd0cbb
UFC 322: Della Maddalena vs. Makhachev ,Erin Blanchfield vs. Tracy Cortez,W/L,Women's Flyweight Bout,Submission ,2,4:44,3 Rnd (5-5-5),Blake Grice,Rear Naked Choke ,http://ufcstats.com/fight-details/909cd8633507a0c8
