EVENT,BOUT,ROUND,FIGHTER,KD,SIG.STR.,SIG.STR. %,TOTAL STR.,TD,TD %,SUB.ATT,REV.,CTRL,HEAD,BODY,LEG,DISTANCE,CLINCH,GROUND
UFC Fight Night: Du Plessis vs. Usman,Dricus Du Plessis vs. Kamaru Usman,Round 1,Dricus Du Plessis,0,29 of 62,46%,30 of 63,0 of 0,---,0,0,0:00,22 of 50,2 of 5,5 of 7,28 of 61,1 of 1,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Dricus Du Plessis vs. Kamaru Usman,Round 2,Dricus Du Plessis,0,36 of 70,51%,38 of 73,0 of 0,---,0,0,0:06,32 of 66,2 of 2,2 of 2,34 of 67,2 of 2,0 of 1
UFC Fight Night: Du Plessis vs. Usman,Dricus Du Plessis vs. Kamaru Usman,Round 3,Dricus Du Plessis,0,25 of 43,58%,25 of 43,0 of 0,---,0,0,0:00,17 of 33,6 of 8,2 of 2,25 of 43,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Dricus Du Plessis vs. Kamaru Usman,Round 4,Dricus Du Plessis,0,24 of 51,47%,24 of 52,0 of 0,---,0,0,0:00,18 of 43,6 of 7,0 of 1,23 of 49,1 of 1,0 of 1
UFC Fight Night: Du Plessis vs. Usman,Dricus Du Plessis vs. Kamaru Usman,Round 5,Dricus Du Plessis,0,22 of 47,46%,22 of 47,0 of 2,0%,0,0,0:00,13 of 38,8 of 8,1 of 1,22 of 47,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Dricus Du Plessis vs. Kamaru Usman,Round 1,Kamaru Usman,0,17 of 41,41%,18 of 42,0 of 1,0%,0,0,0:00,8 of 28,7 of 11,2 of 2,17 of 41,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Dricus Du Plessis vs. Kamaru Usman,Round 2,Kamaru Usman,0,14 of 39,35%,19 of 46,0 of 1,0%,0,0,0:15,8 of 32,6 of 7,0 of 0,11 of 36,3 of 3,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Dricus Du Plessis vs. Kamaru Usman,Round 3,Kamaru Usman,0,17 of 38,44%,17 of 38,0 of 1,0%,0,0,0:02,8 of 23,9 of 15,0 of 0,17 of 38,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Dricus Du Plessis vs. Kamaru Usman,Round 4,Kamaru Usman,0,21 of 49,42%,21 of 50,0 of 3,0%,0,0,0:00,11 of 35,8 of 12,2 of 2,21 of 49,0 of 0,0 of 0
UFC Fight Night: Du Plessis vs. Usman,Dricus Du Plessis vs. Kamaru Usman,Round 5,Kamaru Usman,0,23 of 67,34%,24 of 68,0 of 1,0%,0,0,0:07,14 of 52,7 of 13,2 of 2,22 of 66,1 of 1,0 of 0
