FIRST,LAST,NICKNAME,URL
Tom,Aaron,,http://ufcstats.com/fighter-details/93fe7332d16c6ad9
Danny,Abbadi,The Assassin,http://ufcstats.com/fighter-details/15df64c02b6b0fde
Nariman,Abbasov,Bayraktar,http://ufcstats.com/fighter-details/59a9d6dac61c2540
Darion,Abbey,,http://ufcstats.com/fighter-details/4961467134abd8be
David,Abbott,Tank,http://ufcstats.com/fighter-details/b361180739bed4b0
Hamdy,Abdelwahab,The Hammer,http://ufcstats.com/fighter-details/3329d692aea4dc28
Mansur,Abdul-Malik,,http://ufcstats.com/fighter-details/841695e02c99a521
Shamil,Abdurakhimov,Abrek,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Hiroyuki,Abe,Abe Ani,http://ufcstats.com/fighter-details/c0ed7b208197e8de
Daichi,Abe,,http://ufcstats.com/fighter-details/5140122c3eecd307
Papy,Abedi,Makambo,http://ufcstats.com/fighter-details/c9f6385af6df66d7
Ricardo,Abreu,Demente,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd
Klidson,Abreu,White Bear,http://ufcstats.com/fighter-details/7279654c7674cd24
Cyborg,Abreu,,http://ufcstats.com/fighter-details/f689bd7bbd14b392
Daniel,Acacio,,http://ufcstats.com/fighter-details/1c5879330d42255f
John,Adajar,The Outlaw,http://ufcstats.com/fighter-details/989b85f6540c86b1
Scott,Adams,,http://ufcstats.com/fighter-details/2620f3eb21c79614
Juan,Adams,The Kraken,http://ufcstats.com/fighter-details/83b00f7597e5ac83
Anthony,Adams,Sugafoot,http://ufcstats.com/fighter-details/a77633a989013265
Zarrukh,Adashev,The Lion,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8
Israel,Adesanya,The Last Stylebender,http://ufcstats.com/fighter-details/1338e2c7480bdf9e
Sam,Adkins,The Experience,http://ufcstats.com/fighter-details/0e9869d712e81f8f
Mohamed,Ado,,http://ufcstats.com/fighter-details/7a846fcbf182a7c8
Nick,Agallar,,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb
Mariya,Agapova,Money Mashka,http://ufcstats.com/fighter-details/a08ddd04eaffd81d
Kantharaj,Agasa,Kannadiga,http://ufcstats.com/fighter-details/26f4288e83188c61
Marcelo,Aguiar,,http://ufcstats.com/fighter-details/44aa652b181bcf68
Fabio,Aguiar,,http://ufcstats.com/fighter-details/501821d7fb7b95c1
Edwin,Aguilar,Tigre,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015
Jessica,Aguilar,Jag,http://ufcstats.com/fighter-details/8f382b3baa954d2a
Kevin,Aguilar,Angel of Death,http://ufcstats.com/fighter-details/cf946e03ba2e7666
Jesus,Aguilar,,http://ufcstats.com/fighter-details/c051c2e12d692b8a
Christian,Aguilera,The Beast,http://ufcstats.com/fighter-details/ae071698e1a3ccd4
Nick,Aguirre,Slick,http://ufcstats.com/fighter-details/0978385b2bd9ef9b
,Agulali,,http://ufcstats.com/fighter-details/b2efa582adf73604
Ahejiang,Ailinuer,,http://ufcstats.com/fighter-details/ff584c17bccbae0b
Mike,Aina,Iron,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a
Ashiek,Ajim,Peak Physique,http://ufcstats.com/fighter-details/49dea784f6cfed71
Hitomi,Akano,Girlfight Monster,http://ufcstats.com/fighter-details/2eada40ac8801559
Omari,Akhmedov,Wolverine,http://ufcstats.com/fighter-details/16690d100f995f8f
Yoshihiro,Akiyama,,http://ufcstats.com/fighter-details/b0550072e5f0afa7
Rostem,Akman,,http://ufcstats.com/fighter-details/1fc64507a0cb38cf
Razak,Al-Hassan,,http://ufcstats.com/fighter-details/38b50fd1e1b5b656
Abdul-Kareem,Al-Selwady,Pride of Palestine,http://ufcstats.com/fighter-details/597499ac7a5aac62
Mostapha,Al-Turk,,http://ufcstats.com/fighter-details/1cf1310684a841f5
Herdem,Alacabek,,http://ufcstats.com/fighter-details/7578cc6bd750206b
Javi,Alanis,,http://ufcstats.com/fighter-details/2144954270be834d
,Alatengheili,The Mongolian Knight,http://ufcstats.com/fighter-details/1897b7b913736a7c
Amir,Albazi,The Prince,http://ufcstats.com/fighter-details/6d35bf94f7d30241
Brett,Albee,,http://ufcstats.com/fighter-details/9b28292abe3166d5
John,Albert,Prince,http://ufcstats.com/fighter-details/7bd94b60d7521e4a
Junior,Albini,Baby,http://ufcstats.com/fighter-details/c482c8605455a213
Wes,Albritton,,http://ufcstats.com/fighter-details/184b955181bdef52
Aleksandra,Albu,Stitch,http://ufcstats.com/fighter-details/e76d9f656ceb82ab
Israel,Albuquerque,,http://ufcstats.com/fighter-details/dd1b90eea08887f6
Juan,Alcain,,http://ufcstats.com/fighter-details/39f62b833e4cf126
Iuri,Alcantara,Marajo,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad
Ildemar,Alcantara,Marajo,http://ufcstats.com/fighter-details/7c6e87729e824ef4
Alfonso,Alcarez,,http://ufcstats.com/fighter-details/1e38bba6738b7b10
Gilbert,Aldana,El Peligro,http://ufcstats.com/fighter-details/d26934530dc5b248
Irene,Aldana,,http://ufcstats.com/fighter-details/578ef12674df1e6a
Hector,Aldana,,http://ufcstats.com/fighter-details/c487223b0289bda9
Jose,Alday,Pochito,http://ufcstats.com/fighter-details/7460ddef986d3144
Jose,Aldo,,http://ufcstats.com/fighter-details/d0f3959b4a9747e6
JJ,Aldrich,,http://ufcstats.com/fighter-details/6fd953151d981979
Irina,Alekseeva,Russian Ronda,http://ufcstats.com/fighter-details/103e2e33a60683e1
Talita,Alencar,Problem Child,http://ufcstats.com/fighter-details/d35298b6df168456
Jim,Alers,The Beast,http://ufcstats.com/fighter-details/fe5a9547479396ab
John,Alessio,The Natural,http://ufcstats.com/fighter-details/7a15f3694c5cbc02
Houston,Alexander,The Assassin,http://ufcstats.com/fighter-details/0541480fbf719d86
Kenneth,Alexander,The Machine,http://ufcstats.com/fighter-details/8fd76e1b49c00ae2
Lucas,Alexander,The Lion,http://ufcstats.com/fighter-details/11583163f45c7b31
Marcio,Alexandre Junior,Lyoto,http://ufcstats.com/fighter-details/d53482bef23235ba
Olaf,Alfonso,,http://ufcstats.com/fighter-details/b757c73f443d4fca
Pablo,Alfonso,The Hurricane,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1
Levi,Alford,,http://ufcstats.com/fighter-details/41b34b7f11f6d085
Bill,Algeo,Senor Perfecto,http://ufcstats.com/fighter-details/9abc648e76c4493a
Royce,Alger,,http://ufcstats.com/fighter-details/669a3cb6e394f515
Amir,Aliakbari,,http://ufcstats.com/fighter-details/e17770faae3ca54c
Sultan,Aliev,,http://ufcstats.com/fighter-details/e70de1859b7ee78e
Nurullo,Aliev,Tajik Eagle,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9
Ikram,Aliskerov,,http://ufcstats.com/fighter-details/b07aed698fba8624
Leon,Aliu,The Albanian Lion,http://ufcstats.com/fighter-details/6db394bf6c3b017c
John,Allan,,http://ufcstats.com/fighter-details/6ebe96a116e79e52
George,Allen,,http://ufcstats.com/fighter-details/1e13936d708bcff7
Arnold,Allen,Almighty,http://ufcstats.com/fighter-details/040a74bb0a465c54
Brendan,Allen,All In,http://ufcstats.com/fighter-details/2f181c0467965b98
Daniel,Allen,,http://ufcstats.com/fighter-details/adf9a901308fb8e3
Ben,Alloway,Blanco,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb
Asu,Almabayev,Zulfikar,http://ufcstats.com/fighter-details/8d3273573b85be09
Bekzat,Almakhan,The Turan Warrior,http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1
John Dave,Almanza,The Striker,http://ufcstats.com/fighter-details/088aa1b19b2dc14a
Ricardo,Almeida,Big Dog,http://ufcstats.com/fighter-details/91186547a7f3f758
Magno,Almeida,,http://ufcstats.com/fighter-details/d615d6a10a4704cd
Thomas,Almeida,Thominhas,http://ufcstats.com/fighter-details/2b074403b7c6cdb4
Ericka,Almeida,,http://ufcstats.com/fighter-details/67a992d4cff22466
Estefani,Almeida,,http://ufcstats.com/fighter-details/f16ddfa31236efed
Jailton,Almeida,Malhadinho,http://ufcstats.com/fighter-details/41e83a89929d1327
Lucas,Almeida,,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41
Cesar,Almeida,Cesinha,http://ufcstats.com/fighter-details/64d47ef881a437a4
Mauricio,Alonso,,http://ufcstats.com/fighter-details/c6bf75775b278ed8
Sarah,Alpar,Too Sweet,http://ufcstats.com/fighter-details/49b130de1da2e1bf
Ali,AlQaisi,The Royal Fighter,http://ufcstats.com/fighter-details/e87a13e02c01331d
Rico,Altamirano,,http://ufcstats.com/fighter-details/c61b49cec6abd6b9
Victor,Altamirano,El Magnifico,http://ufcstats.com/fighter-details/dc7927cd622676a7
Mike,Altman,,http://ufcstats.com/fighter-details/c11036da9162cb5f
Patricia,Alujas,The Angel,http://ufcstats.com/fighter-details/430c533614d45813
Sean,Alvarez,,http://ufcstats.com/fighter-details/e741536153227386
Eddie,Alvarez,,http://ufcstats.com/fighter-details/33a331684283900f
Jaime,Alvarez,,http://ufcstats.com/fighter-details/4438482bd1d5a029
Joel,Alvarez,El Fenomeno,http://ufcstats.com/fighter-details/58bbef3770bb2dfc
Thiago,Alves,Pitbull,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f
Anthony,Alves,,http://ufcstats.com/fighter-details/bd92cf5da5413d2a
Amilcar,Alves,,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc
Warlley,Alves,,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f
Rafael,Alves,The Turn,http://ufcstats.com/fighter-details/029afd138865d20a
Sam,Alvey,Smile'N,http://ufcstats.com/fighter-details/d156513a19acf856
Christopher,Alvidrez,The Newborn,http://ufcstats.com/fighter-details/f4abf9aeda861283
Mahamed,Aly,,http://ufcstats.com/fighter-details/86c1441676af2c73
Andre,Amado,Dida,http://ufcstats.com/fighter-details/20821819c401ced8
Adlan,Amagov,Borz,http://ufcstats.com/fighter-details/1e327b281ef6a745
Maiara,Amanajas dos Santos,,http://ufcstats.com/fighter-details/247fbbfafea60bb1
Chris,Amarante,,http://ufcstats.com/fighter-details/ee0b69e307c857e5
Jimmy,Ambriz,The Titan,http://ufcstats.com/fighter-details/c912f676692c353a
JJ,Ambrose,,http://ufcstats.com/fighter-details/d562b12b8fe88336
Alen,Amedovski,,http://ufcstats.com/fighter-details/70fa1c64a2c439ef
Hyder,Amil,The Hurricane,http://ufcstats.com/fighter-details/41cc71cbf210e0fe
Hamid,Amiri,The Storm,http://ufcstats.com/fighter-details/6c40705cf6c0d7e2
Makwan,Amirkhani,Mr. Finland,http://ufcstats.com/fighter-details/87a1dc546b1c5caf
Jaqueline,Amorim,,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08
Yaroslav,Amosov,Dynamo,http://ufcstats.com/fighter-details/f139d6836efd43dd
