FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL
Tom Aaron,--,155 lbs.,--,,"Jul 13, 1978",http://ufcstats.com/fighter-details/93fe7332d16c6ad9
Danny Abbadi,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983",http://ufcstats.com/fighter-details/15df64c02b6b0fde
Nariman Abbasov,"5' 8""",155 lbs.,"66""",Orthodox,"Feb 01, 1994",http://ufcstats.com/fighter-details/59a9d6dac61c2540
Darion Abbey,"6' 2""",265 lbs.,"80""",Orthodox,"Feb 25, 1993",http://ufcstats.com/fighter-details/4961467134abd8be
David Abbott,"6' 0""",265 lbs.,--,Switch,"Apr 26, 1965",http://ufcstats.com/fighter-details/b361180739bed4b0
Hamdy Abdelwahab,"6' 2""",264 lbs.,"72""",Southpaw,"Jan 22, 1993",http://ufcstats.com/fighter-details/3329d692aea4dc28
Mansur Abdul-Malik,"6' 2""",185 lbs.,"80""",Orthodox,"Oct 07, 1997",http://ufcstats.com/fighter-details/841695e02c99a521
Shamil Abdurakhimov,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Hiroyuki Abe,"5' 6""",145 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/c0ed7b208197e8de
Daichi Abe,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991",http://ufcstats.com/fighter-details/5140122c3eecd307
Papy Abedi,"5' 11""",185 lbs.,--,Southpaw,"Jun 30, 1978",http://ufcstats.com/fighter-details/c9f6385af6df66d7
Ricardo Abreu,"5' 11""",185 lbs.,--,Orthodox,"Apr 27, 1984",http://ufcstats.com/fighter-details/aa6e591c2a2cdecd
Klidson Abreu,"6' 0""",205 lbs.,"74""",Orthodox,"Dec 24, 1992",http://ufcstats.com/fighter-details/7279654c7674cd24
Cyborg Abreu,--,--,--,,"Dec 20, 1980",http://ufcstats.com/fighter-details/f689bd7bbd14b392
